                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.40271,                0.27295,                0.90855,                      1,                      1,                  0.995,                 0.8509,                0.77645,                0.31435,                 1.1158,               0.001783,               0.001783,               0.001783
                     85,                0.46865,                0.31032,                0.92945,                      1,                      1,                  0.995,                0.83603,                0.76807,                0.29705,                 1.1207,               0.001684,               0.001684,               0.001684
                     86,                0.47407,                0.28518,                0.90262,                      1,                      1,                  0.995,                0.81145,                0.78012,                0.30833,                 1.1236,               0.001585,               0.001585,               0.001585
                     87,                0.44589,                0.27969,                 0.9164,                      1,                      1,                  0.995,                0.82345,                0.75437,                 0.2858,                 1.1197,               0.001486,               0.001486,               0.001486
                     88,                0.47699,                0.28616,                0.93199,                0.99203,                      1,                  0.995,                   0.81,                0.76634,                0.28578,                 1.1209,               0.001387,               0.001387,               0.001387
                     89,                0.40693,                0.26362,                0.89498,                      1,                      1,                  0.995,                0.81403,                0.79817,                0.30487,                  1.124,               0.001288,               0.001288,               0.001288
                     90,                0.35612,                0.24591,                0.90487,                      1,                      1,                  0.995,                0.81403,                0.80165,                0.28437,                 1.0823,               0.001189,               0.001189,               0.001189
                     91,                0.34684,                0.23347,                0.89298,                      1,                      1,                  0.995,                 0.7987,                0.75176,                0.29029,                 1.0125,                0.00109,                0.00109,                0.00109
                     92,                0.36093,                0.23315,                0.89653,                0.99195,                      1,                  0.995,                0.87966,                0.62358,                0.27851,                0.92119,               0.000991,               0.000991,               0.000991
                     93,                0.35472,                0.22265,                0.86793,                0.99192,                      1,                  0.995,                  0.877,                0.59056,                0.25694,                0.90813,               0.000892,               0.000892,               0.000892
                     94,                0.35083,                0.23079,                0.90955,                0.99192,                      1,                  0.995,                  0.877,                 0.5595,                0.24516,                0.89598,               0.000793,               0.000793,               0.000793
                     95,                0.35795,                0.22797,                 0.8917,                      1,                      1,                  0.995,                0.87513,                0.55362,                0.22108,                0.89389,               0.000694,               0.000694,               0.000694
                     96,                0.35284,                0.22857,                 0.8489,                      1,                      1,                  0.995,                0.87513,                0.56564,                0.22839,                0.89588,               0.000595,               0.000595,               0.000595
                     97,                0.33931,                0.21304,                0.87983,                      1,                      1,                  0.995,                0.88486,                0.59229,                0.23798,                0.90149,               0.000496,               0.000496,               0.000496
                     98,                0.34047,                0.22981,                0.89598,                      1,                      1,                  0.995,                0.87513,                0.61315,                0.25706,                0.90656,               0.000397,               0.000397,               0.000397
                     99,                0.33992,                0.21943,                 0.8775,                      1,                      1,                  0.995,                0.87513,                 0.6408,                0.29071,                0.91523,               0.000298,               0.000298,               0.000298
